%
@relation 'MegaSena'
@attribute Concurso real
@attribute DataSorteio real
@attribute 1Dezena real
@attribute 2Dezena real
@attribute 3Dezena real
@attribute 4Dezena real
@attribute 5Dezena real
@attribute 6Dezena real
@attribute ArrecadacaoTotal real
@attribute GanhadoresSena real
@attribute RateioSena real
@attribute GanhadoresQuina real
@attribute RateioQuina real
@attribute GanhadoresQuadra real
@attribute RateioQuadra real
@attribute Acumulado {SIM, NAO}
@attribute ValorAcumulado real
@attribute EstimativaPremio real
@attribute AcumuladoMegadaVirada real
@data
260,24022001,43,4,60,59,6,33,0,0,0,120,16065.94,8956,214.63,SIM,17357124.85,0,0
261,03032001,5,54,20,56,30,16,0,0,0,91,22350.19,7281,278.51,SIM,19797765.32,0,0
262,10032001,53,60,48,20,58,11,0,0,0,108,24643.78,8838,300.24,SIM,22991600.18,0,0
263,17032001,8,50,26,9,53,43,0,0,0,136,24937.18,12752,265.17,SIM,27061348.12,0,0
264,24032001,5,25,31,13,1,33,0,2,16055880.73,979,4298.96,50364,83.25,NAO,0,0,0
265,31032001,7,50,53,16,41,34,0,0,0,64,14676.59,3855,242.74,SIM,1127161.81,0,0
266,07042001,38,54,48,23,2,46,0,0,0,89,12318.14,6687,163.33,SIM,2442739.49,0,0
267,14042001,58,1,45,55,8,46,0,0,0,46,23142.59,4076,260.19,SIM,3720210.04,0,0
268,21042001,21,10,47,6,5,33,0,0,0,111,10348.29,10133,112.93,SIM,5098601.74,0,0
269,28042001,19,18,52,25,17,49,0,0,0,110,12115.70,8717,152.31,SIM,6697873.66,0,0
270,05052001,45,27,35,40,5,9,0,1,25186260.21,228,9665.14,16867,130.16,NAO,0,0,0
271,12052001,14,31,54,29,26,24,0,0,0,43,19939.25,4385,194.79,SIM,1028865.23,0,0
272,19052001,36,58,9,10,56,24,0,0,0,70,14013.37,5491,177.97,SIM,2205988.15,0,0
273,26052001,47,52,10,27,23,17,0,1,3456480.23,92,11326.92,7241,143.38,NAO,0,0,0
274,02062001,11,39,47,18,13,26,0,0,0,142,5488.22,7420,104.64,SIM,935192.94,0,0
275,09062001,16,30,19,38,48,37,0,0,0,41,22897.52,3737,250.27,SIM,2061751.10,0,0
276,16062001,53,59,39,45,22,57,0,0,0,79,12486.98,5172,190.01,SIM,3245516.79,0,0
277,23062001,40,26,38,4,56,52,0,0,0,95,11578.72,5404,202.78,SIM,4565490.29,0,0
278,30062001,22,10,18,55,15,31,0,0,0,99,11868.09,6996,167.32,SIM,5975419.10,0,0
279,07072001,31,59,4,58,23,47,0,0,0,58,23664.88,6137,222.81,SIM,7622494.24,0,0
280,14072001,5,16,30,25,58,20,0,0,0,192,11199.47,14673,146,SIM,19351758.16,0,0
281,21072001,11,5,47,31,53,38,0,1,22414093.50,188,13574.18,12864,197.63,NAO,0,0,0
282,28072001,33,24,36,9,14,23,0,1,958878.82,76,10514.03,6064,131.27,NAO,0,0,0
283,01082001,48,34,28,54,25,42,0,1,367173.22,36,8499.38,2126,143.38,NAO,0,0,0
284,04082001,8,36,14,32,30,7,0,1,901884.48,75,10020.94,5358,139.74,NAO,0,0,0
285,08082001,50,56,41,12,32,37,0,0,0,17,20875.96,1173,301.41,SIM,425869.64,0,0
286,11082001,44,37,56,29,47,35,0,0,0,59,13743.96,3739,216.06,SIM,1398941.94,0,0
287,15082001,60,47,3,33,25,13,0,1,1931474.80,110,4034.34,5633,78.49,NAO,0,0,0
288,18082001,50,9,18,11,6,17,0,0,0,82,8749.64,4763,150.07,SIM,860964.72,0,0
289,22082001,36,6,30,20,7,25,0,0,0,29,13819.12,2197,181.72,SIM,1341870.11,0,0
290,25082001,57,30,7,25,40,26,0,0,0,56,20662.23,4869,236.75,SIM,10159688.47,0,0
291,29082001,22,16,5,41,18,17,0,0,0,71,11244.78,4870,163.32,SIM,11117743.68,0,0
292,01092001,24,34,53,45,23,13,0,0,0,116,11313.30,8670,150.8,SIM,12692554.40,0,0
293,05092001,6,12,35,5,28,7,0,0,0,167,5817.88,10185,95.03,SIM,13858457.03,0,0
294,08092001,28,45,41,22,57,25,0,2,7696680.33,130,9839.13,7434,171.41,NAO,0,0,0
295,12092001,24,44,7,31,12,50,0,0,0,36,10242.27,2055,178.75,SIM,442466.08,0,0
296,15092001,20,51,42,3,52,46,0,0,0,29,26582.95,2348,327.09,SIM,1367552.68,0,0
297,19092001,20,28,41,1,33,36,0,0,0,25,19353.56,1920,251.05,SIM,1948159.43,0,0
298,22092001,22,34,24,23,5,60,0,1,2994572.21,50,17440.22,4372,198.71,NAO,0,0,0
299,26092001,7,5,2,53,33,49,0,0,0,33,10538.82,2049,169.09,SIM,417337.23,0,0
300,29092001,27,57,41,38,28,24,0,0,0,48,22820.73,4820,226.4,SIM,8421199.74,0,0
301,03102001,58,26,49,57,48,9,0,0,0,28,29571.34,2892,285.22,SIM,9414796.91,0,0
302,06102001,25,40,12,60,30,41,0,0,0,101,13505.06,6361,213.63,SIM,11051609.38,0,0
303,10102001,7,13,30,37,47,17,0,1,12257748.27,215,4674.95,12861,77.86,NAO,0,0,0
304,13102001,42,7,11,34,59,41,0,0,0,58,11050.10,3274,195.02,SIM,769087.04,0,0
305,17102001,11,5,27,60,38,53,0,0,0,47,10013.62,3770,124.37,SIM,1333855.18,0,0
306,20102001,30,19,57,41,56,47,0,0,0,28,29736.18,2294,361.58,SIM,2332990.80,0,0
307,24102001,26,17,13,41,16,44,0,0,0,44,12632.80,3962,139.76,SIM,3000002.70,0,0
308,27102001,55,25,4,11,29,39,0,1,4138172.99,62,15297.99,5173,182.67,NAO,0,0,0
309,31102001,39,50,25,55,11,4,0,1,442899.06,3001,122.53,2997,122.69,NAO,0,0,0
310,03112001,28,14,29,2,31,32,0,0,0,81,10544.47,5093,167.07,SIM,7512984.90,0,0
311,07112001,32,22,24,41,30,38,0,0,0,31,25454.68,2871,273.81,SIM,8459898.95,0,0
312,10112001,14,30,50,41,47,23,0,0,0,76,15889.75,4985,241.33,SIM,9909043.97,0,0
313,14112001,14,38,53,24,16,37,0,0,0,61,15665.21,5547,171.62,SIM,11055737.35,0,0
314,17112001,5,32,40,58,37,34,0,0,0,93,12287.32,5542,205.42,SIM,12427002.17,0,0
315,21112001,50,21,43,12,28,22,0,1,13675105.67,43,24188.06,4598,225.35,NAO,0,0,0
316,24112001,28,51,56,6,24,43,0,0,0,104,6446.33,4093,163.18,SIM,804502.07,0,0
317,28112001,27,20,48,16,30,35,0,0,0,23,18858.99,2088,206.96,SIM,1325010.22,0,0
318,01122001,19,53,40,3,31,20,0,1,2227008.03,46,16340.54,3071,243.84,NAO,0,0,0
319,05122001,12,16,23,17,19,48,0,0,0,52,7242.06,3342,112.26,SIM,451904.22,0,0
320,08122001,20,53,47,50,22,27,0,0,0,77,15489.00,4916,241.69,SIM,8460390.65,0,0
321,12122001,11,31,32,48,49,4,0,0,0,55,16954.09,3729,249.11,SIM,9579360.38,0,0
322,15122001,18,11,29,44,47,56,0,0,0,87,15453.45,7835,170.95,SIM,11192700.36,0,0
323,19122001,31,49,54,33,26,40,0,0,0,56,19921.91,4244,261.89,SIM,12531452.28,0,0
324,22122001,22,8,30,15,47,25,0,0,0,211,7938.40,12192,136.87,SIM,14541455.70,0,0
325,29122001,4,23,3,1,21,53,0,2,8743877.80,256,9590.82,15646,156.33,NAO,0,0,0
326,05012002,52,23,40,51,44,21,0,0,0,27,32367.36,2674,325.58,SIM,1048702.44,0,0
327,09012002,46,38,29,33,32,48,0,0,0,16,30517.93,2112,230.33,SIM,1634646.68,0,0
328,12012002,51,5,23,7,14,21,0,1,2721357.01,100,9055.92,7121,126.69,NAO,0,0,0
329,16012002,24,11,40,12,35,10,0,0,0,40,10380.30,2904,142.44,SIM,9617027.24,0,0
330,19012002,2,4,23,37,14,51,0,0,0,120,10924.51,7914,165.03,SIM,11190156.01,0,0
331,23012002,27,1,35,20,37,13,0,0,0,70,13872.44,6408,150.97,SIM,12355441.42,0,0
332,26012002,28,23,42,29,44,34,0,0,0,83,16762.69,6713,206.47,SIM,14025004.81,0,0
333,30012002,35,27,53,44,52,4,0,0,0,93,12692.31,6221,189.02,SIM,15441466.12,0,0
334,02022002,41,26,51,14,24,23,0,2,8729392.91,1200,1400.91,8839,189.47,NAO,0,0,0
335,06022002,43,33,57,23,59,7,0,0,0,24,17736.83,2134,198.73,SIM,510820.70,0,0
336,09022002,2,18,54,22,30,26,0,0,0,68,11058.60,4141,180.91,SIM,1413202.70,0,0
337,16022002,31,52,14,54,16,4,0,0,0,34,27110.52,3454,265.86,SIM,2519311.97,0,0
338,20022002,48,46,9,1,36,4,0,0,0,43,14031.02,3245,185.23,SIM,3243312.50,0,0
339,23022002,13,16,12,5,27,50,0,0,0,76,12374.85,6908,135.64,SIM,12514336.94,0,0
340,27022002,10,60,42,9,33,12,0,0,0,121,9877.84,6970,170.83,SIM,13948598.35,0,0
341,02032002,56,23,22,43,16,5,0,0,0,166,9623.14,11103,143.34,SIM,15865526.88,0,0
342,06032002,29,49,54,51,16,34,0,0,0,93,15067.81,5578,250.27,SIM,17547094.93,0,0
343,09032002,4,6,7,24,12,41,0,2,9937283.03,246,7884.39,17023,113.51,NAO,0,0,0
344,13032002,33,36,12,35,10,14,0,0,0,46,9494.33,3487,124.78,SIM,524086.97,0,0
345,16032002,56,11,58,46,51,22,0,1,1447870.53,27,28511.84,2170,353.42,NAO,0,0,0
346,20032002,56,7,46,60,41,12,0,0,0,20,19632.30,1589,246.17,SIM,471175.04,0,0
347,23032002,26,10,52,1,12,48,0,0,0,72,9988.89,4730,151.48,SIM,1334215.32,0,0
348,27032002,39,40,33,52,19,30,0,0,0,19,26763.06,1547,327.46,SIM,1944413.01,0,0
349,30032002,9,38,32,8,54,28,0,0,0,46,14053.06,3264,197.31,SIM,10405636.15,0,0
350,03042002,23,30,43,10,15,57,0,0,0,80,11801.82,5012,187.66,SIM,11538610.20,0,0
351,06042002,15,16,59,60,24,41,0,0,0,98,14478.34,5832,242.37,SIM,13241262.56,0,0
352,10042002,49,7,47,25,20,44,0,0,0,161,7848.74,8080,155.8,SIM,14757638.49,0,0
353,13042002,60,46,30,55,23,19,0,0,0,89,19537.11,6862,252.44,SIM,16844201.81,0,0
354,17042002,40,52,38,16,7,41,0,1,18680098.10,93,16450.68,6184,246.46,NAO,0,0,0
355,20042002,2,37,22,60,14,23,0,0,0,50,14412.47,4711,152.39,SIM,864747.94,0,0
356,24042002,54,19,5,58,56,21,0,0,0,32,15777.72,2415,208.28,SIM,1470612.40,0,0
357,27042002,45,53,32,2,30,35,0,0,0,34,23899.52,3265,247.94,SIM,2445712.66,0,0
358,04052002,40,42,32,12,21,17,0,0,0,84,12903.06,5798,186.23,SIM,3746340.86,0,0
359,08052002,31,54,20,29,13,19,0,0,0,56,13050.25,3953,184.17,SIM,13221837.92,0,0
360,11052002,47,24,29,55,53,23,0,0,0,133,10645.79,8382,168.28,SIM,14920906.83,0,0
361,15052002,41,28,45,31,16,59,0,0,0,98,12456.14,5236,232.26,SIM,16385748.75,0,0
362,18052002,37,20,33,46,7,56,0,1,18399160.53,110,15253.12,8313,201.08,NAO,0,0,0
363,22052002,39,54,29,49,47,19,0,0,0,27,14921.89,2225,180.39,SIM,483469.12,0,0
364,25052002,59,44,29,5,51,57,0,1,1307293.04,76,9033.16,3315,206.32,NAO,0,0,0
365,29052002,52,19,34,37,58,23,0,1,462752.26,45,8569.49,2433,157.9,NAO,0,0,0
366,01062002,6,4,51,7,21,15,0,0,0,41,12721.16,3489,148.93,SIM,625880.91,0,0
367,05062002,52,49,27,33,12,10,0,1,1150498.02,71,6157.48,3040,143.27,NAO,0,0,0
368,08062002,13,50,38,32,44,29,0,0,0,53,10725.28,3220,175.87,SIM,682127.44,0,0
369,12062002,21,42,1,60,35,14,0,1,1221738.07,46,9775.55,4167,107.51,NAO,0,0,0
370,15062002,51,42,4,54,1,40,0,0,0,40,23283.30,3230,287.25,SIM,7330667.64,0,0
371,19062002,23,33,39,4,60,18,0,0,0,47,16675.12,3979,196.23,SIM,8271144.70,0,0
372,22062002,24,17,46,57,16,39,0,2,4792658.35,85,12884.04,6743,161.8,NAO,0,0,0
373,26062002,31,33,24,10,5,1,0,0,0,52,6480.14,3292,101.98,SIM,404360.65,0,0
374,29062002,54,2,26,5,44,16,0,0,0,80,8073.17,3326,193.45,SIM,1179384.47,0,0
375,03072002,51,9,42,5,58,1,0,0,0,33,14359.09,2359,200.11,SIM,1748004.50,0,0
376,06072002,25,13,10,43,35,48,0,0,0,110,7257.00,6956,114.33,SIM,2705928.72,0,0
377,10072002,46,19,3,45,12,27,0,0,0,87,6639.02,5468,105.23,SIM,3399042.30,0,0
378,13072002,55,45,48,41,5,38,0,0,0,36,25450.60,3115,293.02,SIM,4498508.08,0,0
379,17072002,41,55,24,59,33,40,0,0,0,32,23407.93,2830,263.68,SIM,11243785.66,0,0
380,20072002,47,22,13,30,31,57,0,0,0,206,6628.67,7186,189.31,SIM,12882392.95,0,0
381,24072002,9,56,46,28,10,55,0,0,0,85,14181.19,7295,164.62,SIM,14328873.76,0,0
382,27072002,54,38,53,31,37,34,0,0,0,68,23756.27,6291,255.82,SIM,16267384.96,0,0
383,31072002,48,22,53,56,50,14,0,0,0,73,23753.43,6573,262.81,SIM,18348185.45,0,0
384,03082002,28,50,47,24,40,52,0,0,0,151,18351.99,10644,259.37,SIM,21673565.65,0,0
385,07082002,22,12,24,18,5,16,0,2,12952192.89,759,4645.17,37449,93.8,NAO,0,0,0
386,10082002,39,54,43,36,17,35,0,0,0,70,11571.98,5236,154.12,SIM,972045.86,0,0
387,14082002,29,28,48,47,43,22,0,0,0,40,14937.65,2998,198.55,SIM,1689053.37,0,0
388,17082002,52,48,53,58,23,36,0,0,0,46,18826.46,4293,200.97,SIM,2728273.75,0,0
389,21082002,46,14,54,18,43,5,0,0,0,63,11305.19,4169,170.2,SIM,15745310.46,0,0
390,24082002,7,22,34,12,38,53,0,1,17611429.97,171,9094.15,10722,144.49,NAO,0,0,0
391,28082002,7,15,35,16,40,4,0,0,0,44,10170.35,2740,162.7,SIM,536994.30,0,0
392,31082002,49,47,39,31,15,23,0,1,1410917.29,68,10709.84,3591,202.03,NAO,0,0,0
393,04092002,12,50,36,6,35,40,0,0,0,31,13716.51,1949,217.35,SIM,510254.22,0,0
394,07092002,15,49,42,5,45,35,0,0,0,47,11817.80,4815,114.93,SIM,1176778.31,0,0
395,11092002,11,58,31,14,10,20,0,1,1843709.96,27,20584.31,2328,237.84,NAO,0,0,0
396,14092002,47,18,6,45,34,42,0,0,0,63,10148.72,4201,151.63,SIM,767243.59,0,0
397,18092002,32,24,2,5,1,46,0,0,0,61,7992.42,4026,120.64,SIM,1352288.49,0,0
398,21092002,28,7,16,37,36,22,0,1,2221289.77,63,11494.73,5106,141.29,NAO,0,0,0
399,25092002,59,55,16,27,47,11,0,0,0,20,19537.00,1730,225.01,SIM,5676171.41,0,0
400,28092002,29,59,13,10,54,28,0,0,0,75,13254.18,4875,203.14,SIM,6869047.91,0,0
401,02102002,50,18,44,53,11,43,0,0,0,33,25008.64,2853,288.18,SIM,7859389.89,0,0
402,05102002,27,43,58,5,16,56,0,0,0,146,7927.99,7787,148.08,SIM,9248373.54,0,0
403,09102002,46,31,7,16,60,27,0,0,0,48,19972.95,4099,233.01,SIM,10398815.28,0,0
404,12102002,24,38,58,1,40,28,0,0,0,66,16580.07,4364,249.8,SIM,11711956.93,0,0
405,16102002,57,60,34,24,29,47,0,0,0,67,16988.17,4579,247.63,SIM,13077805.76,0,0
406,19102002,47,32,48,12,38,2,0,0,0,78,19463.48,6557,230.66,SIM,14899587.92,0,0
407,23102002,49,2,18,51,22,57,0,0,0,90,16315.38,6383,229.18,SIM,16661649.27,0,0
408,26102002,49,44,33,28,56,14,0,1,18948827.67,269,7085.43,13970,135.92,NAO,0,0,0
409,30102002,26,49,25,18,31,34,0,0,0,23,18741.96,1958,219.32,SIM,9710567.61,0,0
410,02112002,31,55,36,24,8,38,0,0,0,101,10257.12,5799,177.97,SIM,10953730.37,0,0
411,06112002,10,56,12,31,45,38,0,0,0,91,11814.39,5115,209.4,SIM,12243861.06,0,0
412,09112002,45,5,14,21,59,12,0,0,0,89,16616.72,8542,172.49,SIM,14018527.28,0,0
413,13112002,35,53,29,33,2,4,0,0,0,102,13376.53,7746,175.49,SIM,15655814.53,0,0
414,16112002,35,26,58,52,45,16,0,1,17428452.98,51,28964.68,5527,266.26,NAO,0,0,0
415,20112002,38,44,4,1,27,42,0,0,0,40,11027.47,2415,181.96,SIM,529318.35,0,0
416,23112002,13,1,23,56,54,33,0,0,0,44,16547.76,4032,179.9,SIM,1403039.91,0,0
417,27112002,25,7,12,21,42,34,0,0,0,78,7435.78,5218,110.73,SIM,2099028.66,0,0
418,30112002,45,8,32,49,15,52,0,2,1558712.24,82,10349.55,5133,164.72,NAO,0,0,0
419,04122002,41,42,52,53,16,9,0,0,0,30,14860.22,1594,278.62,SIM,8115153.05,0,0
420,07122002,43,12,59,30,57,29,0,0,0,83,13949.86,5614,205.47,SIM,9504559.06,0,0
421,11122002,38,45,35,37,5,51,0,0,0,47,21307.17,4716,211.55,SIM,10706283.47,0,0
422,14122002,60,12,56,37,55,43,0,0,0,80,16823.65,6516,205.77,SIM,12321354.11,0,0
423,18122002,8,22,33,40,32,53,0,0,0,66,17925.27,4178,282.1,SIM,13741035.48,0,0
424,21122002,29,36,27,18,59,46,0,0,0,91,17356.78,7389,212.95,SIM,15636395.41,0,0
425,28122002,6,16,10,34,47,42,0,1,18979599.19,279,9985.67,17411,159.42,NAO,0,0,0
426,04012003,7,32,54,50,30,37,0,0,0,58,13241.94,3139,243.76,SIM,921638.77,0,0
427,08012003,51,13,43,24,3,14,0,0,0,48,11642.10,3563,156.25,SIM,1592223.84,0,0
428,11012003,60,8,32,28,46,30,0,0,0,48,16919.00,3734,216.67,SIM,2566758.37,0,0
429,15012003,55,32,17,36,26,43,0,0,0,44,14978.72,3300,198.96,SIM,12839021.93,0,0
430,18012003,50,21,10,25,38,8,0,1,14410708.81,85,15408.70,6944,187.9,NAO,0,0,0
431,22012003,58,26,40,37,47,52,0,0,0,20,21069.89,1184,354.56,SIM,505677.41,0,0
432,25012003,50,17,13,27,4,39,0,0,0,54,12185.97,4278,153.24,SIM,1295327.95,0,0
433,29012003,36,17,28,16,54,30,0,0,0,31,16580.20,2332,219.58,SIM,1912111.54,0,0
434,01022003,24,17,4,54,30,10,0,0,0,84,9173.28,4870,157.63,SIM,2836778.00,0,0
435,05022003,37,11,17,31,43,10,0,0,0,55,11059.32,3243,186.85,SIM,3566693.13,0,0
436,08022003,1,6,57,29,48,7,0,0,0,47,19531.31,4696,194.74,SIM,4668258.69,0,0
437,12022003,54,10,59,44,30,7,0,0,0,33,22273.90,2829,258.84,SIM,5550305.04,0,0
438,15022003,38,48,14,3,11,5,0,0,0,65,16281.73,6276,167.99,SIM,6820280.27,0,0
439,19022003,42,13,20,29,43,57,0,0,0,65,13353.84,4407,196.22,SIM,14150924.79,0,0
440,22022003,46,23,30,47,5,3,0,0,0,139,10909.13,10120,149.28,SIM,15970566.86,0,0
441,26022003,2,15,58,10,59,21,0,0,0,121,11917.74,6941,206.98,SIM,17701023.29,0,0
442,01032003,15,31,23,6,59,37,0,1,19946601.01,135,13861.59,9944,187.48,NAO,0,0,0
443,08032003,11,36,17,26,52,48,0,0,0,47,16322.42,3738,204.46,SIM,920584.21,0,0
444,12032003,48,52,57,24,3,33,0,0,0,43,13890.62,3332,178.58,SIM,1637340.11,0,0
445,15032003,31,50,7,53,32,20,0,0,0,31,28559.37,3101,284.42,SIM,2699748.84,0,0
446,19032003,11,20,8,47,12,17,0,2,1767117.91,65,10698.55,5039,137.48,NAO,0,0,0
447,22032003,24,55,15,33,25,42,0,0,0,55,12010.32,5613,117.25,SIM,792681.47,0,0
448,26032003,5,3,52,45,9,51,0,0,0,40,13356.99,2999,177.48,SIM,1433817.03,0,0
449,29032003,34,56,24,1,49,8,0,0,0,55,14643.05,3656,219.46,SIM,10220372.33,0,0
450,02042003,59,51,13,1,9,50,0,0,0,108,10575.60,6194,183.7,SIM,11590970.46,0,0
451,05042003,23,18,31,17,53,28,0,0,0,87,17131.80,7368,201.53,SIM,13379529.89,0,0
452,09042003,54,11,51,16,36,30,0,0,0,76,18847.21,6317,225.9,SIM,15098395.42,0,0
453,12042003,58,52,8,34,20,23,0,0,0,120,15932.45,7882,241.65,SIM,17392667.68,0,0
454,16042003,4,17,42,56,46,24,0,0,0,275,7515.39,16564,124.3,SIM,19872744.64,0,0
455,19042003,50,15,17,2,14,59,0,0,0,86,23171.64,7989,248.5,SIM,22264057.74,0,0
456,23042003,17,40,22,27,33,3,0,0,0,221,11142.66,16964,144.61,SIM,25219091.20,0,0
457,26042003,48,15,24,27,17,32,0,3,10000441.74,480,8302.49,31340,126.68,NAO,0,0,0
458,30042003,43,53,13,32,34,24,0,0,0,82,7395.34,3921,154.08,SIM,727701.47,0,0
459,03052003,43,17,8,15,49,39,0,0,0,62,12146.48,4197,178.76,SIM,15906301.09,0,0
460,07052003,19,55,30,23,37,49,0,0,0,155,9688.96,9464,158.09,SIM,17708446.64,0,0
461,10052003,30,17,20,29,15,60,0,0,0,189,10317.48,8312,233.71,SIM,20048450.45,0,0
462,14052003,27,48,17,19,26,22,0,0,0,212,9023.34,14463,131.76,SIM,22343987.57,0,0
463,17052003,7,18,2,45,3,53,0,0,0,166,14740.96,15269,159.66,SIM,25280386.38,0,0
464,21052003,6,33,45,38,24,50,0,1,28414544.43,241,10837.34,15457,168.33,NAO,0,0,0
465,24052003,46,31,1,57,22,51,0,0,0,19,40627.81,2175,353.57,SIM,926313.93,0,0
466,28052003,28,16,45,29,30,11,0,0,0,64,10353.72,3582,184.29,SIM,1721479.17,0,0
467,31052003,38,21,8,22,18,60,0,0,0,45,20730.13,3907,237.87,SIM,2840905.83,0,0
468,04062003,23,6,25,39,51,5,0,0,0,58,14292.56,4701,175.67,SIM,3835668.21,0,0
469,07062003,29,47,42,21,13,26,0,2,2596432.92,187,6048.12,8798,128.07,NAO,0,0,0
470,11062003,51,58,23,11,8,37,0,0,0,86,13384.59,6094,188.18,SIM,13182029.14,0,0
471,14062003,51,59,31,5,36,32,0,0,0,76,19668.02,5490,271.24,SIM,14975752.83,0,0
472,18062003,12,3,38,29,51,4,0,0,0,82,17224.58,6518,215.88,SIM,16670651.02,0,0
473,21062003,51,7,58,49,23,41,0,0,0,65,23285.11,6524,231.12,SIM,18486889.08,0,0
474,25062003,34,3,12,50,32,40,0,0,0,56,34156.59,6910,275.76,SIM,20782211.64,0,0
475,28062003,19,6,43,52,8,22,0,0,0,156,15008.18,13235,176.23,SIM,23591742.20,0,0
476,02072003,38,43,20,55,17,58,0,0,0,163,16837.81,11465,238.49,SIM,26885217.69,0,0
477,05072003,47,34,8,6,18,38,0,3,10401481.92,279,12900.92,21958,163.3,NAO,0,0,0
478,09072003,30,8,31,3,21,25,0,0,0,92,7045.32,4876,132.43,SIM,777803.22,0,0
479,12072003,20,54,58,26,41,46,0,0,0,32,29012.34,2834,326.35,SIM,16088932.65,0,0
480,16072003,36,38,33,14,49,41,0,0,0,112,13831.54,8589,179.69,SIM,17947892.21,0,0
481,19072003,42,6,24,44,22,13,0,3,6796888.03,359,5670.32,19465,104.19,NAO,0,0,0
482,23072003,13,56,12,33,53,54,0,0,0,41,14878.29,2929,207.48,SIM,732011.95,0,0
483,26072003,16,23,35,18,44,59,0,0,0,90,9761.25,6279,139.38,SIM,1786227.43,0,0
484,30072003,53,19,38,18,17,49,0,0,0,55,13655.17,4015,186.35,SIM,2687468.43,0,0
485,02082003,38,28,52,30,19,57,0,0,0,30,35888.42,3203,334.87,SIM,3979451.73,0,0
486,06082003,50,42,19,8,30,14,0,1,5125800.12,55,17368.92,4325,220.05,NAO,0,0,0
487,09082003,25,22,48,52,54,8,0,2,467702.34,104,7495.23,5329,145.73,NAO,0,0,0
488,13082003,30,39,35,43,15,57,0,0,0,46,11864.07,2699,201.45,SIM,654896.68,0,0
489,16082003,28,36,17,53,33,59,0,0,0,67,12406.82,5107,162.16,SIM,9662631.84,0,0
490,20082003,5,11,29,54,23,58,0,1,11070173.50,148,7925.35,8438,138.49,NAO,0,0,0
491,23082003,22,43,15,55,9,1,0,1,849344.26,81,8738.11,4221,167.05,NAO,0,0,0
492,27082003,57,2,15,6,56,18,0,0,0,26,19041.52,2629,187.61,SIM,594095.53,0,0
493,30082003,54,20,3,18,42,24,0,0,0,79,9663.99,5294,143.67,SIM,1510241.51,0,0
494,03092003,28,32,49,53,18,20,0,0,0,32,21997.60,2766,253.53,SIM,2354949.51,0,0
495,06092003,36,15,60,8,29,49,0,0,0,48,20565.02,5313,185.09,SIM,3539495.03,0,0
496,10092003,41,20,19,29,59,10,0,0,0,31,27720.31,3495,244.94,SIM,4570690.49,0,0
497,13092003,9,41,32,13,58,20,0,0,0,72,15712.44,5439,207.21,SIM,5928244.66,0,0
498,17092003,49,28,2,6,57,50,0,0,0,58,17603.00,4592,221.5,SIM,7153413.01,0,0
499,20092003,59,1,11,5,44,4,0,1,8698099.22,126,10216.18,8903,144.04,NAO,0,0,0
500,27092003,35,21,54,29,38,36,0,1,9394248.83,73,23869.01,6818,254.6,NAO,0,0,0
501,01102003,34,27,56,28,16,39,0,0,0,43,11303.51,3037,159.45,SIM,583261.35,0,0
502,04102003,50,7,33,21,24,13,0,2,730915.33,268,2731.87,9549,76.39,NAO,0,0,0
503,08102003,10,21,48,27,49,7,0,0,0,40,11636.06,2934,158.04,SIM,558530.93,0,0
504,11102003,39,19,11,8,50,30,0,0,0,54,12855.55,4006,172.64,SIM,1391570.39,0,0
505,15102003,47,20,52,3,46,28,0,0,0,30,19736.18,2559,230.51,SIM,2102072.80,0,0
506,18102003,31,37,34,15,38,4,0,0,0,65,12720.38,4735,173.96,SIM,3094262.01,0,0
507,22102003,44,58,5,27,33,3,0,2,1963484.53,212,3273.22,6604,104.68,NAO,0,0,0
508,25102003,46,56,5,15,45,10,0,0,0,33,18038.77,3025,196.05,SIM,714335.26,0,0
509,29102003,32,55,34,35,28,33,0,0,0,39,13104.28,2852,178.52,SIM,7199176.21,0,0
510,01112003,30,45,58,1,4,41,0,2,4252983.06,70,15557.02,4392,247.01,NAO,0,0,0
511,05112003,8,36,34,37,3,4,0,0,0,50,8700.75,3155,137.37,SIM,761315.61,0,0
512,08112003,8,40,58,4,53,31,0,3,653828.50,41,16727.11,2277,300.05,NAO,0,0,0
513,12112003,46,10,27,19,33,39,0,0,0,46,8485.71,2427,160.23,SIM,683099.65,0,0
514,15112003,15,52,40,36,51,42,0,0,0,20,24964.72,1209,411.42,SIM,4941165.35,0,0
515,19112003,39,16,57,15,45,48,0,0,0,33,20464.65,2636,255.23,SIM,6122998.73,0,0
516,22112003,24,5,34,13,35,33,0,0,0,164,5416.02,7718,114.65,SIM,7677394.38,0,0
517,26112003,51,32,8,28,38,7,0,0,0,36,22385.92,3262,246.13,SIM,9087707.16,0,0
518,29112003,44,8,5,15,18,10,0,0,0,182,6014.85,8653,126.04,SIM,11003437.88,0,0
519,03122003,9,36,15,19,42,22,0,0,0,111,9685.31,7018,152.61,SIM,18558840.36,0,0
520,06122003,32,34,17,35,9,12,0,0,0,166,10017.32,10884,152.2,SIM,21468871.74,0,0
521,10122003,28,32,38,25,15,45,0,0,0,166,10463.37,10610,163.09,SIM,24508480.18,0,0
522,13122003,49,52,15,25,14,6,0,0,0,118,19311.39,8280,274.17,SIM,28496281.66,0,0
523,17122003,45,58,40,39,28,44,0,0,0,123,27528.74,9692,348.05,SIM,34421843.43,0,0
